['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
10556179 17471 33.2 32.3 0 13434 240ac48e2ac0 99 400
11198018 17464 32.9 32.3 0 13436 240ac48e2ac0 99 400
12198070 17472 32.6 32.3 0 13443 240ac48e2ac0 99 400
13198090 17479 32.3 32.3 0 13444 240ac48e2ac0 99 400
14198062 17474 32.1 32.4 0 13447 240ac48e2ac0 99 400
15198070 17476 32.0 32.4 0 13459 240ac48e2ac0 99 400
25277434 17462 32.0 32.7 0 13395 240ac48e2ac0 99 400
25930927 17468 31.9 32.7 0 13402 240ac48e2ac0 99 400
26931337 17471 31.8 32.7 0 13410 240ac48e2ac0 99 400
27931356 17475 31.7 32.7 0 13415 240ac48e2ac0 99 400
28931328 17468 31.8 32.8 0 13399 240ac48e2ac0 99 400
29931081 17467 32.0 32.8 0 13392 240ac48e2ac0 99 400
30931409 17471 32.20000000000001 32.8 0 13402 240ac48e2ac0 99 400
31931352 17482 32.0 32.8 0 13420 240ac48e2ac0 99 400
32931352 17485 31.8 32.8 0 13431 240ac48e2ac0 99 400
33931276 17491 31.6 32.8 0 13430 240ac48e2ac0 99 400
34931345 17487 31.4 32.8 0 13417 240ac48e2ac0 99 400
35931253 17488 31.3 32.8 0 13401 240ac48e2ac0 99 400
36931345 17493 31.3 32.8 0 13400 240ac48e2ac0 99 400
37931356 17483 31.3 32.8 0 13404 240ac48e2ac0 99 400
38931345 17497 31.1 32.8 0 13419 240ac48e2ac0 99 400
39931356 17491 31.0 32.8 0 13426 240ac48e2ac0 99 400
40931390 17499 30.9 32.8 1 13436 240ac48e2ac0 99 400
41931292 17490 30.8 32.8 4 13427 240ac48e2ac0 99 418
42931143 17490 30.8 32.8 11 13431 240ac48e2ac0 99 405
43931433 17488 30.8 32.8 10 13434 240ac48e2ac0 99 400
44931005 17497 30.8 32.8 8 13444 240ac48e2ac0 99 400
45931113 17495 30.9 32.8 7 13443 240ac48e2ac0 99 400
46931328 17499 30.8 32.8 0 13451 240ac48e2ac0 99 400
47931304 17504 30.7 32.8 5 13455 240ac48e2ac0 99 400
48930897 17505 30.7 32.8 4 13453 240ac48e2ac0 99 401
49931348 17502 30.7 32.8 0 13465 240ac48e2ac0 99 400
50931309 17510 31.3 32.9 5 13465 240ac48e2ac0 99 403
51931147 17501 33.1 32.7 0 13462 240ac48e2ac0 99 400
52931155 17516 32.8 32.1 0 13489 240ac48e2ac0 99 400
53931268 17534 32.9 32.1 0 13517 240ac48e2ac0 99 400
54931519 17545 32.9 32.20000000000001 0 13527 240ac48e2ac0 99 400
55931356 17549 32.6 32.3 0 13527 240ac48e2ac0 99 400
56931504 17551 32.0 32.20000000000001 0 13517 240ac48e2ac0 99 400
57931535 17553 31.8 32.20000000000001 3 13513 240ac48e2ac0 99 408
58931254 17552 31.8 32.20000000000001 0 13511 240ac48e2ac0 99 404
59931348 17548 31.5 32.20000000000001 1 13503 240ac48e2ac0 99 416
60931352 17551 31.3 32.3 3 13504 240ac48e2ac0 99 429
61931172 17545 31.0 32.20000000000001 2 13510 240ac48e2ac0 99 411
62931172 17554 30.8 32.20000000000001 1 13507 240ac48e2ac0 99 403
63931245 17552 30.7 32.1 0 13505 240ac48e2ac0 99 406
64931401 17555 30.6 32.20000000000001 5 13514 240ac48e2ac0 99 400
65931768 17554 30.6 32.1 0 13522 240ac48e2ac0 99 400
66931240 17558 30.5 32.1 2 13516 240ac48e2ac0 99 405
67930896 17561 30.4 32.0 0 13518 240ac48e2ac0 99 400
68931371 17559 30.3 32.0 4 13511 240ac48e2ac0 99 413
69931355 17563 30.3 32.1 7 13519 240ac48e2ac0 99 408
70931344 17567 30.3 32.1 6 13518 240ac48e2ac0 99 406
71931355 17556 30.3 32.1 2 13515 240ac48e2ac0 99 410
72931443 17568 30.3 32.20000000000001 0 13515 240ac48e2ac0 99 409
73931550 17564 30.2 32.20000000000001 0 13515 240ac48e2ac0 99 404
74931404 17561 30.2 32.20000000000001 13 13509 240ac48e2ac0 99 408
75931170 17567 30.2 32.20000000000001 13 13513 240ac48e2ac0 99 407
76931461 17566 30.2 32.20000000000001 7 13516 240ac48e2ac0 99 410
77931618 17563 30.3 32.20000000000001 14 13516 240ac48e2ac0 99 406
78931408 17561 30.3 32.1 10 13516 240ac48e2ac0 99 408
79931359 17561 30.3 32.1 9 13517 240ac48e2ac0 99 407
80931343 17552 30.4 32.0 12 13513 240ac48e2ac0 99 401
81931287 17561 30.6 31.9 8 13524 240ac48e2ac0 99 400
82931420 17570 30.8 31.9 10 13535 240ac48e2ac0 99 400
83931208 17565 30.9 31.8 3 13525 240ac48e2ac0 99 404
84931331 17565 31.1 31.8 5 13526 240ac48e2ac0 99 402
85931134 17563 31.3 31.8 2 13523 240ac48e2ac0 99 408
86931655 17563 31.6 31.8 2 13519 240ac48e2ac0 99 412
87931367 17567 31.7 31.9 4 13523 240ac48e2ac0 99 405
88931351 17570 31.7 31.9 2 13519 240ac48e2ac0 99 419
89931308 17567 31.7 32.0 7 13517 240ac48e2ac0 99 420
90931252 17568 31.5 32.1 4 13516 240ac48e2ac0 99 415
91930829 17569 31.3 32.1 0 13514 240ac48e2ac0 99 417
92931541 17569 31.1 32.20000000000001 5 13521 240ac48e2ac0 99 406
93931432 17563 31.6 32.0 17 13510 240ac48e2ac0 99 426
94931541 17565 32.20000000000001 31.9 9 13509 240ac48e2ac0 99 432
95931375 17567 32.3 31.9 15 13511 240ac48e2ac0 99 432
96931570 17562 32.3 32.0 16 13506 240ac48e2ac0 99 431
97931187 17568 32.20000000000001 31.7 0 13523 240ac48e2ac0 99 417
98931344 17567 32.3 31.6 4 13523 240ac48e2ac0 99 400
99931340 17573 32.4 31.7 4 13522 240ac48e2ac0 99 407
100931004 17574 32.4 31.8 1 13519 240ac48e2ac0 99 409
101931347 17586 32.0 31.8 0 13533 240ac48e2ac0 99 400
102931142 17587 31.6 31.9 0 13541 240ac48e2ac0 99 400
103931355 17580 31.3 31.9 5 13537 240ac48e2ac0 99 404
