['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
25282851 16842 37.20000000000001 30.2 0 10958 240ac48df9dc 99 400
25934389 16141 37.1 30.2 0 11653 240ac48df9dc 99 400
26934479 16430 36.8 30.2 0 12197 240ac48df9dc 99 400
27934227 16592 36.6 30.2 0 12427 240ac48df9dc 99 400
28934496 16699 36.4 30.2 0 12558 240ac48df9dc 99 400
29934307 16764 36.4 30.2 0 12650 240ac48df9dc 99 400
30934381 16817 36.4 30.3 0 12722 240ac48df9dc 99 400
31934414 16873 36.3 30.4 0 12779 240ac48df9dc 99 400
32934632 16908 36.20000000000001 30.4 0 12821 240ac48df9dc 99 400
33934583 16947 36.0 30.5 0 12852 240ac48df9dc 99 400
34934575 16978 35.9 30.4 0 12859 240ac48df9dc 99 400
35934567 17001 35.8 30.4 0 12875 240ac48df9dc 99 400
36934381 17026 35.8 30.5 0 12891 240ac48df9dc 99 400
37934567 17040 35.8 30.6 0 12904 240ac48df9dc 99 400
38934567 17063 35.7 30.6 0 12922 240ac48df9dc 99 400
39934579 17070 35.6 30.7 0 12936 240ac48df9dc 99 400
40934567 17098 35.5 30.7 0 12960 240ac48df9dc 99 400
41934223 17120 35.4 30.8 0 12994 240ac48df9dc 99 400
42934575 17142 35.2 30.8 0 13020 240ac48df9dc 99 400
43934507 17158 35.1 30.8 0 13033 240ac48df9dc 99 400
44934591 17168 35.0 30.8 0 13038 240ac48df9dc 99 400
45934628 17183 34.9 30.9 0 13047 240ac48df9dc 99 400
46934315 17193 34.8 30.9 0 13038 240ac48df9dc 99 400
47934364 17207 34.70000000000001 30.9 0 13038 240ac48df9dc 99 400
48934531 17219 34.6 30.9 0 13046 240ac48df9dc 99 400
49934595 17230 34.6 30.9 0 13052 240ac48df9dc 99 400
50934381 17233 35.9 31.0 0 13044 240ac48df9dc 99 400
51934583 17249 36.4 31.0 0 13053 240ac48df9dc 99 400
52934567 17261 35.7 30.7 0 13078 240ac48df9dc 99 400
53934587 17274 35.0 30.6 0 13093 240ac48df9dc 99 400
