['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
25199174 17583 29.7 33.70000000000001 0 13215 240ac48eb9d4 99 400
25842974 17585 29.8 33.70000000000001 0 13215 240ac48eb9d4 99 400
26843044 17583 29.8 33.70000000000001 0 13200 240ac48eb9d4 99 400
27842873 17582 29.9 33.8 0 13205 240ac48eb9d4 99 400
28842854 17587 29.9 33.8 0 13209 240ac48eb9d4 99 400
29843080 17582 29.8 33.70000000000001 0 13215 240ac48eb9d4 99 400
30843044 17586 29.7 33.70000000000001 0 13229 240ac48eb9d4 99 400
31843056 17596 29.5 33.70000000000001 0 13247 240ac48eb9d4 99 400
32842878 17605 29.4 33.6 0 13244 240ac48eb9d4 99 400
33842866 17595 29.3 33.70000000000001 0 13226 240ac48eb9d4 99 400
34842877 17602 29.3 33.6 0 13206 240ac48eb9d4 99 400
35842783 17599 29.3 33.6 0 13204 240ac48eb9d4 99 400
36842885 17599 29.4 33.6 0 13199 240ac48eb9d4 99 400
37842797 17600 29.5 33.6 0 13204 240ac48eb9d4 99 400
38843040 17600 29.6 33.70000000000001 0 13205 240ac48eb9d4 99 400
39842672 17602 29.8 33.6 0 13216 240ac48eb9d4 99 400
40842846 17599 30.0 33.6 2 13226 240ac48eb9d4 99 400
41842854 17601 30.0 33.6 4 13231 240ac48eb9d4 99 408
42842862 17602 29.9 33.6 0 13230 240ac48eb9d4 99 400
43842874 17606 29.8 33.6 0 13234 240ac48eb9d4 99 400
44842870 17608 29.8 33.6 3 13233 240ac48eb9d4 99 409
45842881 17605 29.7 33.6 0 13235 240ac48eb9d4 99 400
46842862 17608 29.8 33.5 6 13237 240ac48eb9d4 99 409
47842894 17610 29.7 33.5 2 13227 240ac48eb9d4 99 413
48842830 17603 29.6 33.6 5 13234 240ac48eb9d4 99 415
49842866 17603 29.6 33.6 0 13237 240ac48eb9d4 99 401
50842814 17605 29.7 33.6 0 13248 240ac48eb9d4 99 400
51842606 17613 30.3 33.4 0 13255 240ac48eb9d4 99 400
52842580 17607 30.2 33.2 0 13276 240ac48eb9d4 99 400
53842818 17623 29.9 33.1 0 13289 240ac48eb9d4 99 400
54842783 17629 29.8 33.0 0 13292 240ac48eb9d4 99 400
55842696 17636 29.4 33.0 0 13309 240ac48eb9d4 99 400
56842502 17638 29.1 33.0 0 13317 240ac48eb9d4 99 400
57842688 17641 29.2 33.1 0 13310 240ac48eb9d4 99 400
58842870 17643 29.2 33.1 0 13293 240ac48eb9d4 99 417
59842700 17643 29.3 33.2 4 13294 240ac48eb9d4 99 433
60842770 17649 29.3 33.2 0 13299 240ac48eb9d4 99 433
61842440 17651 29.2 33.2 11 13288 240ac48eb9d4 99 426
62842870 17650 29.1 33.2 7 13289 240ac48eb9d4 99 438
63842672 17646 29.0 33.2 5 13298 240ac48eb9d4 99 435
64842793 17649 28.9 33.2 7 13297 240ac48eb9d4 99 417
65842830 17656 28.8 33.2 1 13305 240ac48eb9d4 99 420
66842529 17658 28.8 33.2 3 13307 240ac48eb9d4 99 400
67842671 17658 28.7 33.1 0 13304 240ac48eb9d4 99 406
68842769 17657 28.6 33.1 3 13299 240ac48eb9d4 99 419
69843107 17659 28.5 33.1 6 13303 240ac48eb9d4 99 410
70842695 17658 28.5 33.1 3 13305 240ac48eb9d4 99 410
71842880 17661 28.5 33.2 2 13308 240ac48eb9d4 99 404
72842876 17671 28.5 33.2 0 13313 240ac48eb9d4 99 401
73843001 17672 28.5 33.2 2 13309 240ac48eb9d4 99 401
74842876 17665 28.5 33.2 7 13295 240ac48eb9d4 99 431
75842992 17655 28.5 33.3 23 13289 240ac48eb9d4 99 441
76842985 17666 28.5 33.2 13 13285 240ac48eb9d4 99 451
77842605 17653 28.4 33.2 18 13278 240ac48eb9d4 99 461
78843354 17655 28.4 33.2 13 13275 240ac48eb9d4 99 447
79842986 17650 28.5 33.1 21 13284 240ac48eb9d4 99 451
80842937 17651 28.6 33.0 20 13295 240ac48eb9d4 99 436
81842964 17653 28.8 32.9 20 13294 240ac48eb9d4 99 417
82842800 17656 29.0 32.9 19 13297 240ac48eb9d4 99 407
83842969 17660 29.1 32.8 22 13299 240ac48eb9d4 99 408
84842963 17656 29.3 32.8 17 13301 240ac48eb9d4 99 408
85842992 17658 29.6 32.8 13 13301 240ac48eb9d4 99 404
86842828 17656 29.8 32.8 19 13299 240ac48eb9d4 99 413
87842753 17651 30.0 32.8 16 13294 240ac48eb9d4 99 422
88842869 17659 30.1 32.9 13 13296 240ac48eb9d4 99 420
89842964 17658 30.1 32.9 14 13288 240ac48eb9d4 99 424
90842836 17660 30.0 33.0 11 13291 240ac48eb9d4 99 422
91842884 17661 29.8 33.0 18 13291 240ac48eb9d4 99 434
92842876 17664 29.6 33.1 12 13290 240ac48eb9d4 99 420
93842476 17648 29.4 33.1 16 13286 240ac48eb9d4 99 438
94842782 17653 29.2 33.2 14 13292 240ac48eb9d4 99 421
95842792 17665 29.1 33.2 8 13302 240ac48eb9d4 99 408
96843358 17652 29.0 33.3 14 13303 240ac48eb9d4 99 400
97842833 17671 28.9 33.2 3 13305 240ac48eb9d4 99 400
98842876 17671 28.8 33.3 7 13305 240ac48eb9d4 99 400
99842687 17673 28.7 33.3 1 13310 240ac48eb9d4 99 400
100842869 17673 28.7 33.3 1 13311 240ac48eb9d4 99 402
101842625 17669 28.7 33.3 4 13302 240ac48eb9d4 99 413
102842876 17668 28.8 33.3 8 13293 240ac48eb9d4 99 425
103842880 17656 28.9 33.4 8 13285 240ac48eb9d4 99 438
104842605 17661 28.8 33.3 5 13288 240ac48eb9d4 99 435
